timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-11-30,10.39,10.39,9.96,10.18,10.18,124282205,0.0000,1.0
2020-11-27,10.55,10.56,10.31,10.4,10.4,54154848,0.0000,1.0
2020-11-25,10.53,10.56,10.34,10.5,10.5,109872925,0.0000,1.0
2020-11-24,10.71,10.85,10.4,10.45,10.45,175390657,0.0000,1.0
2020-11-23,9.86,10.27,9.86,10.07,10.07,108197286,0.0000,1.0
2020-11-20,9.64,9.83,9.592,9.76,9.76,80135495,0.0000,1.0
2020-11-19,9.62,9.755,9.51,9.66,9.66,87177512,0.0000,1.0
2020-11-18,9.97,10.05,9.725,9.73,9.73,148865809,0.0000,1.0
2020-11-17,9.45,9.735,9.33,9.68,9.68,90348624,0.0000,1.0
2020-11-16,9.61,9.64,9.42,9.57,9.57,118771994,0.0000,1.0
2020-11-13,8.86,9.25,8.85,9.25,9.25,130158746,0.0000,1.0
2020-11-12,8.76,8.87,8.67,8.76,8.76,79618484,0.0000,1.0
2020-11-11,9.11,9.12,8.83,8.89,8.89,87439973,0.0000,1.0
2020-11-10,8.825,9.1,8.75,8.98,8.98,164733649,0.0000,1.0
2020-11-09,9.35,9.41,8.61,8.72,8.72,193282713,0.0000,1.0
2020-11-06,8.02,8.14,7.96,8.09,8.09,84125494,0.0000,1.0
2020-11-05,7.95,8.05,7.91,7.99,7.99,85806802,0.0000,1.0
2020-11-04,7.69,8.02,7.53,7.85,7.85,126925115,0.0000,1.0
2020-11-03,7.65,7.915,7.54,7.85,7.85,97872531,0.0000,1.0
2020-11-02,7.5,7.58,7.33,7.52,7.52,108878294,0.0000,1.0
2020-10-30,7.34,7.54,7.29,7.42,7.42,102480596,0.0000,1.0
2020-10-29,7.66,7.74,7.31,7.37,7.37,123297997,0.0000,1.0
2020-10-28,7.51,7.86,7.41,7.42,7.42,253494071,0.0000,1.0
2020-10-27,7.4,7.4,7.09,7.1,7.1,98170037,0.0000,1.0
2020-10-26,7.46,7.56,7.28,7.38,7.38,104254426,0.0000,1.0
2020-10-23,7.93,8.03,7.56,7.63,7.63,132563218,0.0000,1.0
2020-10-22,7.33,7.75,7.32,7.72,7.72,95766854,0.0000,1.0
2020-10-21,7.28,7.41,7.27,7.32,7.32,73811105,0.0000,1.0
2020-10-20,7.35,7.42,7.27,7.34,7.34,98420102,0.0000,1.0
2020-10-19,7.39,7.47,7.23,7.29,7.29,130837050,0.0000,1.0
2020-10-16,6.96,7.35,6.935,7.29,7.29,169147263,0.0000,1.0
2020-10-15,6.7,6.88,6.61,6.87,6.87,89252691,0.0000,1.0
2020-10-14,6.72,6.89,6.72,6.82,6.82,98076229,0.0000,1.0
2020-10-13,6.79,6.8175,6.66,6.72,6.72,75287604,0.0000,1.0
2020-10-12,6.92,6.92,6.74,6.83,6.83,89036434,0.0000,1.0
2020-10-09,7.07,7.07,6.7,6.84,6.84,171507508,0.0000,1.0
2020-10-08,6.36,6.67,6.34,6.65,6.65,103167345,0.0000,1.0
2020-10-07,6.22,6.4,6.21,6.31,6.31,83286107,0.0000,1.0
2020-10-06,6.43,6.58,6.11,6.17,6.17,170066228,0.0000,1.0
2020-10-05,6.39,6.45,6.32,6.41,6.41,58283579,0.0000,1.0
2020-10-02,6.05,6.4,6.05,6.39,6.39,90076370,0.0000,1.0
2020-10-01,6.27,6.29,6.11,6.24,6.24,79175599,0.0000,1.0
2020-09-30,6.14,6.29,6.14,6.23,6.23,96781556,0.0000,1.0
2020-09-29,6.21,6.23,6.06,6.12,6.12,74065790,0.0000,1.0
2020-09-28,6.23,6.31,6.18,6.2,6.2,83292806,0.0000,1.0
2020-09-25,6.06,6.17,6.02,6.11,6.11,79778652,0.0100,1.0
2020-09-24,6.1,6.18,6.0,6.06,6.05009803922,95469754,0.0000,1.0
2020-09-23,6.28,6.42,6.1,6.11,6.10001633987,88644746,0.0000,1.0
2020-09-22,6.4,6.58,6.21,6.25,6.2397875817,140901046,0.0000,1.0
2020-09-21,6.63,6.65,6.23,6.35,6.33962418301,162739631,0.0000,1.0
2020-09-18,6.92,7.14,6.87,6.88,6.86875816993,145280809,0.0000,1.0
2020-09-17,6.81,7.18,6.67,7.05,7.03848039216,261040291,0.0000,1.0
2020-09-16,6.1,6.81,6.05,6.75,6.73897058824,258647167,0.0000,1.0
2020-09-15,6.17,6.22,6.02,6.1,6.09003267974,86350791,0.0000,1.0
2020-09-14,5.99,6.16,5.96,6.15,6.13995098039,74002058,0.0000,1.0
2020-09-11,6.04,6.05,5.93,5.95,5.94027777778,71918590,0.0000,1.0
2020-09-10,6.17,6.2,6.0,6.0,5.99019607843,97324843,0.0000,1.0
2020-09-09,6.2,6.2,6.02,6.16,6.14993464052,109044349,0.0000,1.0
2020-09-08,6.32,6.36,6.13,6.14,6.12996732026,120646029,0.0000,1.0
2020-09-04,6.43,6.56,6.26,6.42,6.40950980392,89675872,0.0000,1.0
2020-09-03,6.39,6.65,6.28,6.32,6.30967320261,94124921,0.0000,1.0
2020-09-02,6.2,6.45,6.17,6.44,6.42947712418,83816608,0.0000,1.0
2020-09-01,6.27,6.4,6.15,6.19,6.17988562092,93296864,0.0000,1.0
2020-08-31,6.51,6.69,6.26,6.34,6.32964052288,141872968,0.0000,1.0
2020-08-28,6.51,6.62,6.47,6.61,6.59919934641,59161658,0.0000,1.0
2020-08-27,6.52,6.63,6.45,6.48,6.46941176471,73387919,0.0000,1.0
2020-08-26,6.62,6.62,6.44,6.48,6.46941176471,57303986,0.0000,1.0
2020-08-25,6.65,6.7,6.48,6.59,6.57923202614,69449105,0.0000,1.0
2020-08-24,6.35,6.64,6.3,6.63,6.61916666667,102785415,0.0000,1.0
2020-08-21,6.25,6.38,6.23,6.31,6.29968954248,59851459,0.0000,1.0
2020-08-20,6.33,6.3769,6.21,6.27,6.25975490196,63763962,0.0000,1.0
2020-08-19,6.47,6.57,6.35,6.38,6.3695751634,54361951,0.0000,1.0
2020-08-18,6.49,6.57,6.41,6.44,6.42947712418,42686043,0.0000,1.0
2020-08-17,6.67,6.69,6.45,6.47,6.45942810458,58459873,0.0000,1.0
2020-08-14,6.54,6.72,6.47,6.66,6.64911764706,50397190,0.0000,1.0
2020-08-13,6.59,6.76,6.585,6.6,6.58921568627,53428517,0.0000,1.0
2020-08-12,6.87,6.88,6.58,6.72,6.70901960784,70186469,0.0000,1.0
2020-08-11,6.87,7.0,6.69,6.73,6.71900326797,93141505,0.0000,1.0
2020-08-10,6.43,6.7,6.38,6.67,6.65910130719,94345023,0.0000,1.0
2020-08-07,6.29,6.46,6.25,6.4,6.38954248366,83064872,0.0000,1.0
2020-08-06,6.33,6.42,6.28,6.33,6.31965686275,69915675,0.0000,1.0
2020-08-05,6.17,6.4,6.14,6.4,6.38954248366,106612741,0.0000,1.0
2020-08-04,6.1,6.2,6.1,6.14,6.12996732026,71041755,0.0000,1.0
2020-08-03,6.14,6.19,6.02,6.11,6.10001633987,89769458,0.0000,1.0
2020-07-31,6.25,6.29,6.0,6.07,6.06008169935,142731657,0.0000,1.0
2020-07-30,6.5,6.51,6.26,6.26,6.24977124183,127526921,0.0000,1.0
2020-07-29,6.99,7.0,6.52,6.59,6.57923202614,148442381,0.0000,1.0
2020-07-28,6.7,6.96,6.69,6.89,6.87874183007,76033649,0.0000,1.0
2020-07-27,6.84,6.85,6.69,6.71,6.69903594771,70703977,0.0000,1.0
2020-07-24,7.02,7.11,6.82,6.86,6.84879084967,65449459,0.0000,1.0
2020-07-23,7.06,7.12,6.97,7.04,7.02849673203,68628509,0.0000,1.0
2020-07-22,6.99,7.09,6.9,7.06,7.04846405229,65508263,0.0000,1.0
2020-07-21,6.94,7.15,6.9,7.04,7.02849673203,69875086,0.0000,1.0
2020-07-20,7.01,7.06,6.86,6.87,6.8587745098,48984775,0.0000,1.0
2020-07-17,7.06,7.15,6.98,7.07,7.05844771242,59953006,0.0000,1.0
2020-07-16,7.06,7.18,6.99,7.05,7.03848039216,52273501,0.0000,1.0
2020-07-15,7.09,7.21,7.03,7.14,7.12833333333,89663937,0.0000,1.0
2020-07-14,6.66,6.89,6.57,6.88,6.86875816993,69725198,0.0000,1.0
2020-07-13,6.76,6.82,6.64,6.7,6.68905228758,68313869,0.0000,1.0
2020-07-10,6.54,6.72,6.53,6.69,6.67906862745,63284129,0.0000,1.0
